ST_ID,LATITUDE,LONGITUDE
162,59.3968,48.9638
163,59.4445,48.9049
164,59.4798,48.8603
165,59.5111,48.8141
166,59.5425,48.7424
167,59.5818,48.6752
168,59.6282,48.6198
169,59.6577,48.5682
170,59.6831,48.5050
171,59.7273,48.4170
172,59.7605,48.3754
173,59.8488,48.2748
174,59.8799,48.1868
175,59.9481,48.1720
176,59.9936,48.1256
177,60.0523,48.0429
178,60.0919,47.9653
179,60.1319,47.8945
180,60.1902,47.8879
181,60.2515,47.7858
182,60.3310,47.6997
183,60.3805,47.6160
184,60.4047,47.5333
185,60.3996,47.2902
186,60.3658,47.1244
187,60.3567,47.0781
188,60.4691,47.4876
189,60.5054,47.3860
190,60.5568,47.3341
191,60.6003,47.2788
192,60.6468,47.2087
193,60.7037,47.2257
194,60.7477,47.1786
195,60.7596,47.1663
196,60.7851,47.1385
197,60.8176,47.0610
198,60.8950,47.2563
199,60.8936,47.3689
200,58.6284,49.5671
201,58.4953,49.6985
202,58.4704,49.8132
203,58.4714,49.9111
204,58.4642,50.0742
205,58.5375,49.9867
206,58.4373,50.2325
207,58.4165,50.3530
208,58.4454,50.4766
209,58.4629,50.6369
210,58.4801,50.7077
211,58.4512,50.5187
212,58.4343,50.9912
213,58.4039,51.1342
214,58.4165,51.2835
215,58.4040,51.3952
216,58.3978,51.5116
217,58.3554,51.5920
218,58.3195,51.7347
219,58.2963,51.8386
220,58.2872,51.9592
221,58.2485,52.1116
222,58.2200,52.1552
223,58.2030,52.2151
224,58.3047,52.1708
225,58.3607,52.1995
226,58.3988,52.1270
227,58.4443,52.1790
228,58.5099,52.1836
229,58.5604,52.2092
230,58.6809,52.2092
231,58.7741,52.2951
232,58.8709,52.3444
233,58.9288,52.3679
234,58.9974,52.4040
235,59.0512,52.3355
236,59.1250,52.3380
237,48.5765,24.8933
239,48.6226,24.5847
242,48.6905,24.6150
245,48.8239,24.7195
246,49.0636,23.8719
249,48.9820,23.9873
253,48.9352,23.9130
254,48.9989,24.1632
257,49.0122,24.3495
261,49.0000,24.5968
263,49.2593,24.4951
266,49.2167,24.6478
269,49.1372,24.7327
270,49.0905,24.7964
271,49.0389,24.7599
273,48.9857,24.7105
275,48.9189,24.7266
277,48.8766,24.7511
278,48.8217,24.7868
281,48.7366,24.8453
287,48.5979,25.0811
288,48.5339,25.0629
294,48.6822,25.4772
297,48.5088,25.1680
298,48.4732,25.3092
301,48.4293,25.5047
302,48.4118,25.5926
303,48.3820,25.5104
307,48.2990,25.2536
308,48.2492,25.1930
309,48.3997,25.6530
310,46.8276,29.4695
314,46.8441,29.6342
315,46.8026,29.8622
316,46.6232,29.9197
317,46.8375,29.4750
321,46.8871,29.2843
323,46.9057,29.1747
326,46.9271,29.0506
328,46.9617,28.9229
329,47.0092,28.8632
332,47.0877,28.7401
334,47.1493,28.6195
336,47.1887,28.4487
337,47.2423,28.3357
339,47.3255,28.0899
342,47.3223,27.8858
345,47.2120,27.8046
346,51.5045,45.9788
351,47.2120,27.8046
352,47.2034,27.8003
358,47.5450,27.7411
360,47.6196,27.7726
363,47.7237,27.8241
364,47.7922,27.5057
365,47.7624,27.9113
366,47.7852,27.9292
